Taxon	Mnemonic	Scientific name
944575		Ailuropoda melanoleuca qinlingensis
165203		Ailurops
165204	AILUR	Ailurops ursinus
9648		Ailurus
9649	AILFU	Ailurus fulgens
424585		Ailurus fulgens styani
10069		Akodon
10070	AKOAE	Akodon aerosus
106109		Akodon aff. cursor
230186	AKOAF	Akodon affinis
251311	AKOAL	Akodon albiventer
29095	AKOAZ	Akodon azarae
1315223		Akodon azarae azarae
140765		Akodon baliolus
10072	AKOBO	Akodon boliviensis
291114	AKOBU	Akodon budini
865619		Akodon caenosus
29096	AKOCU	Akodon cursor
291113	AKODA	Akodon dayi
240584	AKODO	Akodon dolores
291115	AKOFU	Akodon fumeus
484372		Akodon glaucinus
240588	AKOIN	Akodon iniscatus
291287		Akodon iniscatus nucus
2601206		Akodon josemariarguedasi
10073	AKOJU	Akodon juninensis
10074	AKOKO	Akodon kofordi
2601207		Akodon kotosh
992337		Akodon latebricola
106110	AKOLI	Akodon lindberghi
100643		Akodon lutescens
1392509		Akodon lutescens lutescens
10076	AKOLP	Akodon lutescens puer
10087	AKOMI	Akodon mimus
140761	AKOML	Akodon molinae
10075	AKOMO	Akodon mollis
1315337		Akodon mollis altorum
106112	AKOMN	Akodon montensis
106113	AKOMY	Akodon mystax
29099	AKOOR	Akodon orophilus
230113	AKOPA	Akodon paranaensis
306435	AKOPH	Akodon philipmyersi
865620		Akodon polopi
230112	AKORE	Akodon reigi
106114	AKOSE	Akodon serrensis
29100	AKOSI	Akodon siberiae
484371		Akodon simulator
538996		Akodon simulator group
389470		Akodon sp. MJS-2006
306436		Akodon sp. MMP 2421
230187	AKOSP	Akodon spegazzinii
415707		Akodon spegazzinii tucumanensis
10077	AKOSU	Akodon subfuscus
1315222		Akodon subfuscus subfuscus
399315		Akodon sylvanus
484373		Akodon tartareus
29101	AKOTB	Akodon toba
10078	AKOTO	Akodon torques
29102		Akodon urichi
140762		Akodon varius
747232		Akodon viridescens
37170		Alcelaphinae
59516		Alcelaphus
59517	ALCBU	Alcelaphus buselaphus
141455		Alcelaphus buselaphus buselaphus
101644		Alcelaphus buselaphus cokei
59518		Alcelaphus buselaphus jacksoni
101645		Alcelaphus buselaphus lelwel
101648		Alcelaphus buselaphus major
141456		Alcelaphus buselaphus neumanni
101649		Alcelaphus buselaphus swaynei
141457		Alcelaphus buselaphus tora
59519		Alcelaphus caama
59520	ALCLI	Alcelaphus lichtensteinii
9851		Alces
9852		Alces alces
9853	ALCAA	Alces alces alces
162953	ALCAC	Alces alces cameloides
341674		Alces alces gigas
162954		Alces alces pfitzmayeri
225176		Alces alces shirasi
999462		Alces americanus
2162899		Alexandromys
2162902		Alexandromys limnophilus
2162903		Alexandromys limnophilus malygini
527669		Alexandromys middendorffii hyperboreus
716674		Alexandromys mongolicus
2162904		Alexandromys mujanensis
2162900		Alexandromys oeconomus
2162901		Alexandromys oeconomus kharanurensis
662936		Alionycteris
662937	ALIPA	Alionycteris paucidentata
73860		Allactaga
2233961		Allactaga cf. williamsi KH-2018
73861	ALLEL	Allactaga elater
1208728		Allactaga euphratica
1208729		Allactaga firouzi
1041417		Allactaga hotsoni
233182		Allactaga major
2545426		Allactaga severtzovi
2545425		Allactaga sp. A-20-mk1
1652701		Allactaga sp. Kazakhstan
1665534		Allactaga sp. YY-2015
1208731		Allactaga toussi
1208730		Allactaga williamsi
35734		Allactaginae
35735		Allactodipus
35736		Allactodipus bobrinskii
54134		Allenopithecus
54135	ALLNI	Allenopithecus nigroviridis
122247		Allocebus
122248	ALLTR	Allocebus trichotis
2059839		Allochrocebus
100224	ALLLH	Allochrocebus lhoesti
147649	ALLPU	Allochrocebus preussi
1137512		Allochrocebus preussi insularis
1137513		Allochrocebus preussi preussi
147650	ALLSO	Allochrocebus solatus
329633		Allocricetulus
1267394		Allocricetulus curtatus
329634		Allocricetulus eversmanni
9499		Alouatta
30590	ALOBE	Alouatta belzebul
182257		Alouatta belzebul belzebul
9502	ALOCA	Alouatta caraya
182256	ALOGU	Alouatta guariba
183328		Alouatta guariba clamitans
198115		Alouatta macconnelli
30589	ALOPA	Alouatta palliata
182252		Alouatta palliata aequatorialis
182249		Alouatta palliata coibensis
182248		Alouatta palliata mexicana
182250		Alouatta palliata palliata
182251		Alouatta palliata trabeata
2487933		Alouatta palliata x Alouatta pigra
182253	ALOPI	Alouatta pigra
121123	ALOSA	Alouatta sara
9503	ALOSE	Alouatta seniculus
182254		Alouatta seniculus seniculus
163110		Alouatta stramineus
38066		Alouattinae
98315		Alticola
1472669		Alticola albicaudus
400184		Alticola argentatus
400185		Alticola barakshin
1472668		Alticola lemminus
2664933		Alticola lemminus lemminus
2664934		Alticola lemminus vicina
98316	ALTMC	Alticola macrotis
400405		Alticola macrotis vinogradovi
1472670		Alticola montosa
1477902		Alticola olchonensis
347518		Alticola semicanus
644965		Alticola semicanus alleni
2184227		Alticola stoliczkanus
870528		Alticola stracheyi
400186		Alticola strelzowi
1071968		Alticola strelzowi desertorum
1071967		Alticola strelzowi strelzowi
1197750		Alticola tuvinicus
745258		Amblysominae
9390		Amblysomus
745233		Amblysomus corriae
1662287		Amblysomus corriae corriae
9391	AMBHO	Amblysomus hottentotus
1632279		Amblysomus hottentotus hottentotus
1632280		Amblysomus hottentotus iris
1632278		Amblysomus hottentotus longiceps
1632282		Amblysomus hottentotus meesteri
1632277		Amblysomus hottentotus natalensis
1632281		Amblysomus hottentotus pondoliae
192724		Amblysomus iris
745234	AMBML	Amblysomus marleyi
745240		Amblysomus robustus
745241		Amblysomus septentrionalis
1775245		Amblysomus sp. NF
1775246		Amblysomus sp. UM
475184		Amerhippus
148022		Ametrida
148033	AMECE	Ametrida centurio
45485		Ammospermophilus
45487	AMMHA	Ammospermophilus harrisii
142640	AMMIN	Ammospermophilus insularis
